id,Title,Ammount,Institution,Degree,Field,Students,Location,Deadline
166,Temple University in USA Merit Scholarships 2023,"Fully Funded, Full tuition fee, Partial Funding",Temple University,"Postgraduate, Undergraduate",All Subjects,International Students,USA,Not Mentioned
167,University of Sydney PhD Scholarship (Parkinson's Disease Research),Fully Funded,University of Sydney,PhD,Parkinson's Disease,International Students,Australia,Not Mentioned
168,Fully Funded Amsterdam Talent Scholarship (ATS) 2023,Partial Funding,Amsterdam University of Applied Sciences,"Undergraduate, Graduate, Postgraduate",All Subjects,"International Students, Domestic Students",Netherlands,Not Mentioned
169,Fully Funded CSEAS Japan Fellowships 2023,Fully Funded,Japan Universities,"Masters, Postgraduate, Fellowship",Library Management,International Students,Japan,Not Mentioned
170,Seattle University USA Merit Scholarships 2023,Fully Funded,Seattle University,"Masters, Undergraduate",All Subjects,International Students,USA,Not Mentioned
171,Fully Funded MEXT Japan Scholarships 2023,Fully Funded,Japan Universities,Masters,All Subjects,International Students,Japan,Not Mentioned
172,Fully Funded Netherlands Government Scholarships 2023 - The Orange Knowledge Programme,Fully Funded,Netherlands Universities,"Masters, Short Training","Health, Security, law and governance",International Students,Netherlands,Not Mentioned
173,"Augustana University Global Leaders Scholarships, USA 2023","Fully Funded, Partial Funding",Augustana University,"Postgraduate, Undergraduate",All Subjects,International Students,USA,Not Mentioned
174,ACU Australia Scholarships 2023,Partial Funding,Australian Catholic University,"Postgraduate, Undergraduate",All Subjects,International Students,Australia,Not Mentioned
175,Admission Scholarship for the Juris Doctor Programme 2023 | City University of Hong Kong,Partial Funding,City University of Hong Kong,"Post Doctorate, PhD",All Subjects,"International Students, Domestic Students",Hong Kong,Not Mentioned
176,Griffith University Australia Excellence Scholarships 2023,Partial Funding,Griffith University,"Masters, PhD",All Subjects,International Students,Australia,Not Mentioned
177,Nottingham Research and Anne McLaren Fellowships in UK 2023 - University of Nottingham,Partial Funding,University of Nottingham,"PhD, Postgraduate",All Subjects,"International Students, Domestic Students",UK,10/06/2022
178,Yunnan University China 2023 Scholarships - Presidential Scholarship Programm,Partial Funding                                           4000 Yuan,Yunnan University,"Undergraduate, Masters",All Subjects,International Students,China,Not Mentioned
179,ECMC Foundation USA Scholarships 2023,Partial Funding                                           4000 Yuan,USA Universities,Diploma,All Subjects,International Students,USA,Not Mentioned
180,Heriot-Watt University UK PhD Scholarship 2022 - Social Sciences,"Full tuition fee                                           tuition fee waiver and an annual stipend currently set at £16,062 for three years",Heriot-Watt University,PhD,Social Sciences,International Students,UK,09/08/2022
181,KAIST International Student Scholarships 2023 (Fully-Funded Award),Fully Funded,KAIST,Undergraduate,All Subjects,International Students,South Korea,Not Mentioned
182,MBA Student Scholarships in Australia 2023 – The University of Queensland,Partial Funding,University of Queensland,Postgraduate,All Subjects,International Students,Australia,10/31/2022
183,University of Melbourne Scholarships 2023 - The Jack Keating Fund Policy Paper,Partial Funding,University of Melbourne,Graduate,All Subjects,"International Students, Domestic Students",Australia,10/31/2022
184,Chulabhorn Graduate Institute Post-graduate Scholarship Program in Thailand 2023 - Fully Funded Award,Fully Funded,Chulabhorn Graduate Institute,Graduate,"Chemical Sciences, Environmental Toxicology, Environmental Health                                           Applied Biological Sciences: Environmental Health
Environmental Toxicology
Chemical Sciences",International Students,Thailand,09/30/2022
185,International Student Scholarships in USA 2023 | University of Minnesota,Partial Funding,University of Minnesota,Undergraduate,All Subjects,International Students,USA,11/15/2022
186,Destination Australia Scholarships 2023-24 | La Trobe University,Partial Funding,La Trobe University,"Undergraduate, Postgraduate",All Subjects,International Students,Australia,12/31/2023
187,Fully Funded Fulbright Foreign Student Programs for International Students 2023/24,Partial Funding,USA Universities,"Undergraduate, Graduate, Postgraduate",All Subjects,International Students,USA,Not Mentioned
188,Harvard University MBA Scholarships in USA 2024 | 75% of the  tuition fees,Partial Funding,Harvard University,MBA,Business,"International Students, Domestic Students",USA,05/31/2023
189,Otago International Excellence Scholarships in New Zealand 2023 | Full Tuition Fee,"Partial Funding, Full tuition fee",University of Otago,Postgraduate,All Subjects,International Students,New Zealand,12/10/2022
190,"The First 500 Scholarships | University of Kent, UK",Partial Funding,University of Kent,Undergraduate,All Subjects,"International Students, Domestic Students",UK,10/31/2022
191,Miami University Fully Funded Scholarships in USA | Presidential Fellows Program 2023,Partial Funding,Miami University,Fellowship,All Subjects,"International Students, Domestic Students",USA,Not Mentioned
192,Tsinghua University Beijing China Schwarzman Scholars Program 2023/2024,"Fully Funded                                           Tuition Fee, Travel allowance, Stipend etc",Tsinghua University,Masters,"Public Policy, International Studies, economics and business",International Students,China,Not Mentioned
193,Inha University South Korea Scholarships 2023 | Jungseok Scholarships,Partial Funding,Inha University,Undergraduate,All Subjects,International Students,South Korea,Not Mentioned
194,Brandeis University USA Scholarships | HBI LGBTQ Jewish Studies Research Awards 2022,Partial Funding,Brandeis University,"Research, PhD",gender studies,International Students,USA,09/16/2022
195,International Pathway Scholarships in New Zealand 2023 | University of Otago,Partial Funding,University of Otago,Undergraduate,All Subjects,International Students,New Zealand,Not Mentioned
196,Education PhD Tuition Fee Waivers 2023 | University of Leicester | Study in UK,Full tuition fee,University of Leicester,PhD,Education,"International Students, Domestic Students",UK,09/14/2022
197,Australian Research Council Scholarships 2023 - Study in Australia,Stipend,Australian National University,"Research, PhD",All Subjects,"International Students, Domestic Students",Australia,Not Mentioned
198,Meta Research PhD Fellowships in United States 2023 (Fully Funded),Fully Funded,Meta (Facebook),"Fellowship, Research",All Subjects,International Students,USA,09/20/2022
199,Future Leaders Scholarships in UK 2023 - University of Liverpool | Full Tuition Fee,Full tuition fee,University of Liverpool,Masters,Management,"International Students, Domestic Students",UK,Not Mentioned
200,Illinois Wesleyan University Scholarships in USA 2023,Partial Funding,Illinois Wesleyan University,Undergraduate,All Subjects,"International Students, Domestic Students",USA,Not Mentioned
201,"The Dean's Business School International Excellence Scholarships 2023 - University of Leeds, UK",Partial Funding,University of Leeds,Undergraduate,Business,International Students,UK,Not Mentioned
202,Umea Universitet Sweden Scholarships 2023 - PhD in Medical Sciences,Salary Based,Umeå University,PhD,Medical Sciences,"International Students, Domestic Students",Sweden,08/26/2022
203,Japan Scholarship 2023 at Soka University Hachioji,Partial Funding,Sōka University,Undergraduate,All Subjects,International Students,Japan,Not Mentioned
204,Deans Award for Academic Excellence Scholarships 2022,Partial Funding,University of Bath,Masters,"Humanities, Designing, Engineering, Social Sciences, Science","International Students, Domestic Students",UK,Not Mentioned
205,University of Sydney Scholarships 2023 Australia (Postgraduate Research in Solar Power 2023),Partial Funding,University of Sydney,"Postgraduate, Research",Solar Power,"International Students, Domestic Students",Australia,08/22/2022
206,Silesian University of Technology Poland Scholarships for International Students 2023,Partial Funding,Silesian University,Undergraduate,All Subjects,International Students,Poland,Not Mentioned
207,"City, University of London International Excellence Scholarships 2023 (School of Health & Psychological Sciences)",Partial Funding,University of London,Masters,"Speech and Language Therapy, Mental Health, Child Health Nursing",International Students,UK,12/16/2022
208,The University of Queensland Australia - UQ Vice-Chancellor’s Scholarships 2023,Partial Funding,University of Queensland,Undergraduate,All Subjects,"International Students, Domestic Students",Australia,12/04/2022
209,Queensland University of Technology Australia MBA and EMBA Scholarships 2023,Partial Funding,Queensland University of Technology,"Graduate, MBA",Business,"International Students, Domestic Students",Australia,Not Mentioned
210,University of Leeds UK Undergraduate International Excellence Scholarships 2023,Partial Funding,University of Leeds,Undergraduate,"Electronics, Electrical Engineering, electronic engineering, Mechatronics, Robotics",International Students,UK,Not Mentioned
211,University of Kansas USA Phi Theta Kappa Scholarships 2023,Partial Funding,University of Kansas,"Undergraduate, Graduate",All Subjects,International Students,USA,Not Mentioned
212,Loyola University Chicago United States International Student Scholarships 2023,Partial Funding,Loyola University Chicago,Graduate,All Subjects,International Students,USA,Not Mentioned
213,Kochi University of Technology Kami Japan Special Scholarship Program for Ph.D. Students 2023,Fully Funded,Kochi University of Technology,PhD,All Subjects,International Students,Japan,09/16/2022
214,University of Tasmania Australia Dean of Sciences and Engineering Merit Scholarship 2023,Partial Funding,University of Tasmania,Undergraduate,"Science, Engineering","International Students, Domestic Students",Australia,Not Mentioned
215,Swiss Government Excellence Scholarships for Foreign Scholars and Artists for the 2022-2023 Academic Year,Partial Funding,Switzerland Universities,"Research, Masters",All Subjects,International Students,Switzerland,Not Mentioned
216,University of the Sunshine Coast Australia English Excellence Scholarships 2023,Partial Funding,University of the Sunshine Coast,Undergraduate,All Subjects,International Students,Australia,Not Mentioned
217,Meiji Gakuin University Japan International Scholarships for Academic Excellence 2023,Partial Funding                                           70% off,Meiji University,Undergraduate,All Subjects,International Students,Japan,Not Mentioned
218,University of Calgary Canada International Entrance Scholarship 2023,Partial Funding,University of Calgary,Undergraduate,All Subjects,International Students,Canada,Not Mentioned
219,University of Ghana Call for Applications-TDR Postgraduate Scholarship in Implementation Research 2023,Partial Funding,University of Ghana,Undergraduate,All Subjects,International Students,Ghana,09/09/2022
220,Clark University USA Robert Goddard Scholarship for First-Year International Students 2023,Partial Funding,Clark University,"Bachelor, Undergraduate",All Subjects,International Students,USA,Not Mentioned
221,London South Bank University UK International Merit Scholarship 2023,Partial Funding,London South Bank University,"Postgraduate, Undergraduate",All Subjects,International Students,UK,Not Mentioned
222,Rosa Luxemburg Foundation Financial Grants for Undergraduate and Postgraduate Students in Germany 2023,Partial Funding,Germany Universities,"Postgraduate, Undergraduate",All Subjects,International Students,Germany,Not Mentioned
223,The College of Wooster Ohio USA Need Based Financial Aid 2023,Partial Funding,The College of Wooster,Undergraduate,All Subjects,"International Students, Domestic Students",USA,Not Mentioned
224,Boise State University Idaho USA Global Excellence Award for International Students 2023,Partial Funding,Boise State University,Undergraduate,All Subjects,International Students,USA,Not Mentioned
225,Brown University Rhode Island USA Financial Aid for International Applicants 2023,Partial Funding,Rhodes University,"Postgraduate, Graduate, Undergraduate",All Subjects,International Students,USA,Not Mentioned
226,International University of Japan Nayakama 90 Scholarships for International and Domestic Students2023,Partial Funding                                           90% off of tuition fee,International University of Japan,Undergraduate,All Subjects,"International Students, Domestic Students",Japan,Not Mentioned
227,Boise State University Idaho USA Graduate Assistantships 2023,Partial Funding,Boise State University,Graduate,All Subjects,"International Students, Domestic Students",USA,Not Mentioned
228,The Skoll Scholarships for International MBA Students at Saïd Business School in England UK 2023,Partial Funding,University of Oxford,MBA,All Subjects,International Students,UK,01/04/2023
229,Eastern Michigan University USA 4WARD Graduation Scholarship for International Scholars 2023,Partial Funding,Eastern Michigan University,"Undergraduate, Graduate",All Subjects,"International Students, Domestic Students",USA,Not Mentioned
230,Government of the Slovak Republic National Scholarships 2023,Fully Funded,Slovekia Universities,Postgraduate,All Subjects,International Students,Slovekia,Not Mentioned
231,Harvard Kennedy School USA Joan Shorenstein Fellowships 2023,Partial Funding,Harvard Kennedy School,Fellowship,All Subjects,International Students,USA,Not Mentioned
232,The University of Adelaide Australia Higher Education Scholarships 2021-2025,Partial Funding,University of Adelaide,Undergraduate,All Subjects,International Students,Australia,Not Mentioned
233,Seattle University USA Merit Scholarships Awards 2023,Partial Funding,Seattle University,Undergraduate,All Subjects,International Students,USA,Not Mentioned
234,The University of Melbourne Mobility Awards for International Students 2023,Partial Funding,University of Melbourne,"Undergraduate, Graduate, Postgraduate",All Subjects,"International Students, Domestic Students",Australia,12/31/2022
235,2023 International UA Competitive Admissions Scholarships at the University of Alabama USA,Partial Funding,University of Alabama,Undergraduate,All Subjects,International Students,USA,Not Mentioned
236,UNIL Master’s grants scholarships for international students in Switzerland 2023/25,Partial Funding,University of Lausanne,Masters,All Subjects,International Students,Switzerland,Not Mentioned
237,Bond University Gold Coast Australia International Undergraduate Excellence Scholarships 2023-25,Partial Funding,Bond University,Undergraduate,"Actuarial Science, Architecture, Built Environment, Business, Commerce, Communication +7 More, Health Sciences, International Relations, Humanities, Law, Social Sciences, Psychology, Professional Counselling  Creative 
Hotel and Tourism",International Students,Australia,Not Mentioned
238,The University of Queensland Australia Master of Quantum Technology Scholarship 2023,Partial Funding,University of Queensland,Masters,Quantum Technologies,International Students,Australia,07/31/2022
239,NUCB Undergraduate School Japan International Baccalaureate (IB) Scholarship 2022/2023,Partial Funding,NUCB Undergraduate School,Diploma,All Subjects,International Students,Japan,Not Mentioned
240,The University of Warwick School of Engineering and Industrial Doctoral Awards in England UK 2022/23 (Mathematical and Computational Modelling),Partial Funding,University of Warwick,PhD,Mathematical and Computational Modelling,International Students,UK,09/01/2022
241,Wellington Tangiwai Scholarship – (School Leaver Scholarships for Excellence) in New Zealand 2023/24,Partial Funding,Victoria University of Wellington,Undergraduate,All Subjects,International Students,New Zealand,09/01/2022
242,Italy Regional scholarships 2022-2023,Partial Funding,Università Iuav di Venezia,"Postgraduate, Undergraduate, Graduate",All Subjects,International Students,Italy,Not Mentioned
243,Fully Funded Rhodes Scholarships at University of Oxford UK 2022-2023 (International Students),Fully Funded,University of Oxford,Postgraduate,All Subjects,"International Students, Domestic Students",UK,Not Mentioned
244,University of New South Wales Australia Anita B. Lawrence PhD Scholarship in Acoustics 2022,Partial Funding,University of New South Wales,PhD,All Subjects,"International Students, Domestic Students",Australia,Not Mentioned
245,Center for European Policy Analysis (CEPA) Democracy Fellowship Fund 2022,Partial Funding,USA Universities,Fellowship,All Subjects,International Students,USA,Not Mentioned
246,The University of Sydney Australia  David Harold Tribe Postgraduate Research Fellowship 2022/2023,Partial Funding,University of Sydney,"Postgraduate, Research",All Subjects,International Students,Australia,07/27/2022
247,Alma Mater Studiorum - Università di Bologna Italy NRRP PhD Scholarships 2022,Partial Funding,University of Bologna,PhD,All Subjects,International Students,Italy,08/02/2022
248,"Newnham College, University of Cambridge England UK Cambridge Australia Studentship 2023",Partial Funding,University of Cambridge,PhD,All Subjects,International Students,UK,Not Mentioned
249,Edith Cowan University in Joondalup Australia MRIWA 2023 Postgraduate Scholarships,Partial Funding,Edith Cowan University,"Postgraduate, Research",All Subjects,"International Students, Domestic Students",Australia,09/09/2022
250,Stellenbosch University South Africa Tubingen-South Africa Programme 2023,Fully Funded,Stellenbosch University,Undergraduate,All Subjects,Domestic Students,South Africa,08/15/2022
251,The Gates Scholarship 2022/2023 (Fully-Funded),Fully Funded,USA Universities,Undergraduate,All Subjects,"International Students, Domestic Students",USA,09/15/2022
252,University of Southern Denmark Fully Funded PhD Research Fellow in 2D materials 2022/2023,Fully Funded,University of Southern Denmark,PhD,"Materials Chemistry, Material Science, Materials Engineering","International Students, Domestic Students",Denmark,07/31/2022
253,Aalto University Finland Doctoral Student in Optics and Photonics 2022,Partial Funding,Aalto University,PhD,"Physics, Photonics, Optics","International Students, Domestic Students",Finland,09/15/2022
254,Saint Martin's University Washington USA Undergraduate Academic Merit Scholarships 2022,Partial Funding,Saint Martin's University,Undergraduate,All Subjects,"International Students, Domestic Students",USA,Not Mentioned
255,Nusa Putra Univerisity Sukabumi Indonesia International Fully Funded Genusian Scholarship 2023,Fully Funded,Nusa Putra University,Undergraduate,All Subjects,International Students,Indonesia,Not Mentioned
256,University of Lincoln England UK PhD Studentship Identifying Physiological and Agronomical Factors Associated with High Yield in Linseed 2023,Partial Funding,University of Lincoln,"Research, PhD",Biology,Domestic Students,UK,07/29/2022
257,Karolinska Institute Solna Sweden Doctoral PhD student position 2023 (Salary-based),Salary,Karolinska Institute,PhD,Biology,International Students,Sweden,09/04/2022
258,New College of the Humanities UK Scholarships for Home and International students 2022,Partial Funding,New College of the Humanities,"Undergraduate, Postgraduate",All Subjects,International Students,UK,Not Mentioned
259,University of Reading UK 2022 IFP Ambassador Scholarship - a great opportunity!,Partial Funding,University of Reading,"Graduate, Undergraduate, Postgraduate",All Subjects,International Students,UK,11/20/2022
260,American University of Antigua UK High Achievers Scholarships 2023 (BIGGEST SCHOLARSHIP),Partial Funding,American University of Antigua,Graduate,All Subjects,International Students,UK,Not Mentioned
261,Government of Canada Vanier Canada Graduate Scholarships 2022/2023,Partial Funding,Canada Universities,Graduate,Sustainable Development,International Students                                           Vietnam,Canada,Not Mentioned
262,Call For Applications: Study in Australia's Northern Territory Scholarships 2022/2023,Partial Funding,Australian Universities,"Postgraduate, Undergraduate, Graduate",All Subjects,International Students,Australia,Not Mentioned
263,University of Vienna Austria Erasmus+ Blended Intensive Programmes 2023,Partial Funding,University of Vienna,"Graduate, Undergraduate, Postgraduate",All Subjects,International Students,Austria,12/15/2022
264,Swinburne University of Technology Melbourne Australia Swinburne X CPA Australia Scholarship 2022,Partial Funding,Swinburne University of Technology,Masters,Professional accounting,International Students,Australia,Not Mentioned
265,The University of Queensland Brisbane Australia Schwarzman Scholars Program 2023 (Fully-Funded),Fully Funded,University of Queensland,"Postgraduate, Masters",All Subjects,Domestic Students,Australia,09/20/2022
266,Keele University England UK Keele International Excellence Scholarship (UG) 2022/2023,Partial Funding,Keele University,Undergraduate,All Subjects,International Students,UK,Not Mentioned
267,African Studies Centre Leiden Africa Thesis Award 2022,Partial Funding,Afrika-Studiecentrum Leiden,Research,All Subjects,"International Students, Domestic Students",Africa,08/31/2022
268,Government of South Africa FRANCE: The Nurturing Emerging Scholars Programme (NESP) 2022,Partial Funding,South Africa Universities,Masters,All Subjects,International Students,South Africa,08/05/2022
269,$3000 TodayDeals Scholarship Programs: The Viral Of Shopping Through Social Media 2023,"Partial Funding, Award",Any University,"Bachelor, Masters, PhD, Diploma",All Subjects,International Students,All Countries,12/31/2022
270,New Zealand - Global Research Alliance Doctoral Scholarships (NZ-GRADS) - 2022 Special Round,Fully Funded,New Zealand Universities,PhD,All Subjects,International Students,New Zealand,Not Mentioned
271,Government of Canada Postdoctoral Research Program 2022/2023,Partial Funding,Canada Universities,"Research, Post Doctorate",All Subjects,International Students,Canada,Not Mentioned
272,University of Montreal Canada UdeM Exemption Scholarship for International Students 2022,Partial Funding,University of Montreal,"Undergraduate, Postgraduate, Graduate",All Subjects,International Students,Canada,Not Mentioned
273,Government of South Korea Office of International Affairs Global Hope Scholarship for Graduates 2022,Partial Funding,South Korea Universities                                           Samsung Dreams Scholarship Foundation,Graduate,All Subjects,International Students,South Korea,Not Mentioned
274,Vrije Universiteit Brussel Belgium PhD Scholarship 'Wind speed modelling and anemometry' (Fully-Funded) 2022,Fully Funded,Vrije Universiteit Brussel,PhD,All Subjects,International Students,Belgium,08/08/2022
275,Matsumae International Foundation Scholarships in Japan for International Students 2023,Fully Funded,Japan Universities                                           Matsumae International Foundation,Research,All Subjects,"International Students, Domestic Students",Japan,Not Mentioned
276,Canon Collins RMTF Scholarships for Postgraduate Study UK 2023,Partial Funding,UK Universities,Masters,All Subjects,"International Students, Domestic Students",UK,08/22/2022
277,European Commission Marie Skłodowska-Curie Actions Postdoctoral Fellowships 2022/2023,Partial Funding,"Marie Skłodowska-Curie Actions
Developing talents, advancing research",Post Doctorate,All Subjects,International Students,Europe,09/14/2022
278,University of Adelaide Australia The Eynesbury College High Achiever Progression Scholarship 2021-2025,Partial Funding,University of Adelaide,Bachelor,All Subjects,"International Students, Domestic Students",Australia,Not Mentioned
279,UIC Barcelona International University of Catalonia Spain International Excellence Scholarships 2022,Partial Funding,UIC Barcelona International University of Catalonia,"Bachelor, Masters, PhD",All Subjects,International Students,Spain,Not Mentioned
280,University of New South Wales Scholarships for International Students In Australia 2022,"Partial Funding, Full tuition fee",University of New South Wales,"Postgraduate, Undergraduate",All Subjects.,"International Students, Domestic Students",Australia,07/31/2022
281,Australian Government Australia Awards Pacific Scholarships 2023 (FULLY_FUNDED),Fully Funded,Australian Universities,"Postgraduate, Undergraduate, Graduate",All Subjects,International Students,Australia,Not Mentioned
282,Swansea University Wales UK Fully Funded Research Scholarship in Biological Sciences 2023,Fully Funded,Swansea University,"Research, PhD",Marine Ecology,International Students,UK,07/15/2022
283,Government of New Zealand - Global Research Alliance Doctoral Scholarships (NZ-GRADS) - 2022 Special Round,Partial Funding,New Zealand Universities,PhD,"Agriculture, Agricultural Sciences","International Students, Developing Countries",New Zealand,09/30/2022
284,Chonnam National University Gwangju South Korea Global Scholarship (Graduate) 2023,Partial Funding,Chonnam National University,Graduate,All Subjects,International Students,South Korea,Not Mentioned
